"","Fecha","Pesos por dólar"
"5920",2008-01-28,10.8934
"5921",2008-01-29,10.8698
"5922",2008-01-30,10.8784
"5923",2008-01-31,10.8444
"5924",2008-02-01,10.8374
"5925",2008-02-02,10.8262
"5926",2008-02-03,10.8262
"5927",2008-02-04,10.8262
"5928",2008-02-05,10.8262
"5929",2008-02-06,10.8138
"5930",2008-02-07,10.8289
"5931",2008-02-08,10.8227
"5932",2008-02-09,10.804
"5933",2008-02-10,10.804
"5934",2008-02-11,10.804
"5935",2008-02-12,10.7575
"5936",2008-02-13,10.7736
"5937",2008-02-14,10.7465
"5938",2008-02-15,10.7509
"5939",2008-02-16,10.7413
"5940",2008-02-17,10.7413
"5941",2008-02-18,10.7413
"5942",2008-02-19,10.7653
"5943",2008-02-20,10.735
"5944",2008-02-21,10.7489
"5945",2008-02-22,10.7939
"5946",2008-02-23,10.798
"5947",2008-02-24,10.798
"5948",2008-02-25,10.798
"5949",2008-02-26,10.7818
"5950",2008-02-27,10.7855
"5951",2008-02-28,10.743
"5952",2008-02-29,10.7344
"5953",2008-03-01,10.6813
"5954",2008-03-02,10.6813
"5955",2008-03-03,10.6813
"5956",2008-03-04,10.7243
"5957",2008-03-05,10.7046
"5958",2008-03-06,10.7098
"5959",2008-03-07,10.6978
"5960",2008-03-08,10.7649
"5961",2008-03-09,10.7649
"5962",2008-03-10,10.7649
"5963",2008-03-11,10.8383
"5964",2008-03-12,10.8478
"5965",2008-03-13,10.7965
"5966",2008-03-14,10.7735
"5967",2008-03-15,10.7778
"5968",2008-03-16,10.7778
"5969",2008-03-17,10.7778
"5970",2008-03-18,10.7778
"5971",2008-03-19,10.7613
"5972",2008-03-20,10.704
"5973",2008-03-21,10.704
"5974",2008-03-22,10.704
"5975",2008-03-23,10.704
"5976",2008-03-24,10.704
"5977",2008-03-25,10.6944
"5978",2008-03-26,10.6748
"5979",2008-03-27,10.6793
"5980",2008-03-28,10.6957
"5981",2008-03-29,10.6962
"5982",2008-03-30,10.6962
"5983",2008-03-31,10.6962
"5984",2008-04-01,10.6987
"5985",2008-04-02,10.6482
"5986",2008-04-03,10.5985
"5987",2008-04-04,10.5557
"5988",2008-04-05,10.5644
"5989",2008-04-06,10.5644
"5990",2008-04-07,10.5644
"5991",2008-04-08,10.559
"5992",2008-04-09,10.5395
"5993",2008-04-10,10.561
"5994",2008-04-11,10.5552
"5995",2008-04-12,10.5503
"5996",2008-04-13,10.5503
"5997",2008-04-14,10.5503
"5998",2008-04-15,10.5337
"5999",2008-04-16,10.4919
"6000",2008-04-17,10.4843
"6001",2008-04-18,10.4579
"6002",2008-04-19,10.4828
"6003",2008-04-20,10.4828
"6004",2008-04-21,10.4828
"6005",2008-04-22,10.461
"6006",2008-04-23,10.5223
"6007",2008-04-24,10.5181
"6008",2008-04-25,10.4868
"6009",2008-04-26,10.462
"6010",2008-04-27,10.462
"6011",2008-04-28,10.462
"6012",2008-04-29,10.4702
"6013",2008-04-30,10.4464
"6014",2008-05-01,10.5272
"6015",2008-05-02,10.5272
"6016",2008-05-03,10.5095
"6017",2008-05-04,10.5095
"6018",2008-05-05,10.5095
"6019",2008-05-06,10.4585
"6020",2008-05-07,10.4687
"6021",2008-05-08,10.4937
"6022",2008-05-09,10.539
"6023",2008-05-10,10.5465
"6024",2008-05-11,10.5465
"6025",2008-05-12,10.5465
"6026",2008-05-13,10.5666
"6027",2008-05-14,10.5058
"6028",2008-05-15,10.4835
"6029",2008-05-16,10.4884
"6030",2008-05-17,10.4769
"6031",2008-05-18,10.4769
"6032",2008-05-19,10.4769
"6033",2008-05-20,10.4266
"6034",2008-05-21,10.3792
"6035",2008-05-22,10.4002
"6036",2008-05-23,10.3644
"6037",2008-05-24,10.381
"6038",2008-05-25,10.381
"6039",2008-05-26,10.381
"6040",2008-05-27,10.4
"6041",2008-05-28,10.3848
"6042",2008-05-29,10.3925
"6043",2008-05-30,10.3447
"6044",2008-05-31,10.3066
"6045",2008-06-01,10.3066
"6046",2008-06-02,10.3066
"6047",2008-06-03,10.3306
"6048",2008-06-04,10.3417
"6049",2008-06-05,10.2992
"6050",2008-06-06,10.3211
"6051",2008-06-07,10.3108
"6052",2008-06-08,10.3108
"6053",2008-06-09,10.3108
"6054",2008-06-10,10.3582
"6055",2008-06-11,10.362
"6056",2008-06-12,10.3847
"6057",2008-06-13,10.4268
"6058",2008-06-14,10.395
"6059",2008-06-15,10.395
"6060",2008-06-16,10.395
"6061",2008-06-17,10.3655
"6062",2008-06-18,10.3399
"6063",2008-06-19,10.3153
"6064",2008-06-20,10.2935
"6065",2008-06-21,10.3156
"6066",2008-06-22,10.3156
"6067",2008-06-23,10.3156
"6068",2008-06-24,10.2753
"6069",2008-06-25,10.3032
"6070",2008-06-26,10.318
"6071",2008-06-27,10.2938
"6072",2008-06-28,10.2841
"6073",2008-06-29,10.2841
"6074",2008-06-30,10.2841
"6075",2008-07-01,10.3028
"6076",2008-07-02,10.3069
"6077",2008-07-03,10.3908
