Nombre,Rating,Latitud,Longitud,Oferta_1,Precio_1,Oferta_2,Precio_2,Oferta_3,Precio_3
Hotel Marlowe,8.1,19.43321,-99.1424,Booking.com,828,Expedia,833,Hoteles.com,833
InterContinental Presidente Mexico City,8.8,19.42724,-99.19365,Expedia,2667,InterContinental,2678,Hoteles.com,2667
Ramada Reforma Ex Jena,7.7,19.43766,-99.15043,Booking.com,801,Expedia,801,Hoteles.com,801
Quinta Avenida,7.2,19.40594,-99.05777,Expedia,580,Hoteles.com,580,Despegar,580
Holiday Inn Hotel & Suites Mexico Zona Rosa,8.5,19.42818,-99.15881,Booking.com,903,Holiday Inn,903,Expedia,903
Dominion Corporate Suites,8.3,19.42884,-99.1937,travelclick,4853,Booking.com,5006,Expedia,4940
MX roma,8.5,19.42093,-99.15797,Booking.com,846,Despegar,781,MéxicoDestinos,730
Hotel Lord,7,19.41916,-99.14522,Booking.com,371,Expedia,480,Hoteles.com,480
Hotel Mónaco,7.8,19.43876,-99.14907,Booking.com,673,Expedia,643,Hoteles.com,643
Roble,7.9,19.42992,-99.13277,Expedia,503,Booking.com,561,Hoteles.com,503
Econo Express Hotel,8.5,19.38098,-99.14059,Booking.com,490,Expedia,490,Hoteles.com,490
Exe Cities Reforma,7.9,19.42983,-99.15938,Booking.com,908,Expedia,898,Destinia,762
El Senador,6.7,19.41791,-99.14537,Booking.com,392,Expedia,446,Hoteles.com,446
Hotel PF,8,19.42362,-99.16627,Booking.com,851,travelclick,887,Expedia,851
Hotel Eurostars Zona Rosa Suites,8.3,19.42566,-99.16398,Booking.com,1077,Expedia,1065,Destinia,1007
Hotel Bristol,8.1,19.43127,-99.16698,Booking.com,701,Expedia,813,Hoteles.com,813
Hotel Lepanto,7.9,19.44227,-99.14834,Booking.com,667,lol.travel,504,Destinia,498
Holiday Inn Express Mexico - Toreo,9,19.46564,-99.23014,Expedia,810,Hoteles.com,810,Trip.com,810
Hotel Scala Magna,8.3,19.46979,-99.22649,Booking.com,1170,Expedia,950,Hoteles.com,950
Residence L’ Heritage Royal Colonial by BlueBay,7.3,19.43311,-99.19675,Hoteles.com,1027,Destinia,1025,Expedia,1028
Valle de México,7.2,19.46588,-99.22614,Booking.com,757,Expedia,757,lol.travel,642
Fiesta Inn Naucalpan,8.1,19.4796,-99.23087,Booking.com,803,travelclick,775,Hoteles.com,794
Polanco By O,7.8,19.42885,-99.2006,Expedia,1213,Hoteles.com,1213,Despegar,1215
Hotel Mision Toreo Centro De Convenciones,7.5,19.46636,-99.23933,Expedia,798,Hoteles.com,798,Destinia,877
Habita,7.7,19.43173,-99.18993,Booking.com,3422,Traveluro,3422,Hoteles.com,3385
Grupo Kings Suites -Monte Chimborazo 537,7.6,19.42501,-99.22494,Booking.com,1699,Agoda,1681,,NA
The Green Park Hotel,8.4,19.41523,-99.18488,Hoteles.com,2033,Expedia,2033,Booking.com,2033
Hotel St Isidro Corporate Housing,8.7,19.43377,-99.21262,Hoteles.com,1313,Booking.com,1379,Expedia,1313
Courtyard Mexico City Toreo,8.4,19.4592,-99.22158,Courtyard,854,Booking.com,863,Expedia,854
Fiesta Americana Mexico Toreo,9.5,19.45438,-99.21895,Expedia,1589,travelclick,1550,Booking.com,1606
Hotel Las Alcobas,9.4,19.43161,-99.19788,Trip.com,6781,Luxury Collection,10827,Expedia,6277
Alteza Polanco,8,19.43832,-99.21173,Booking.com,1566,Expedia,1410,Hoteles.com,1410
Hotel Arboleda 215,8.9,19.43056,-99.20886,Booking.com,1368,Expedia,1368,Hoteles.com,1368
Las Suites,8.6,19.43041,-99.20544,Hoteles.com,2010,travelclick,1758,Expedia,2010
Obelisk Suites,8,19.42833,-99.19756,Booking.com,2082,Expedia,1919,Trip.com,2165
Pugseal Polanco,9.2,19.43272,-99.20004,Trip.com,3327,Booking.com,3363,Expedia,3327
Suites Teca Once,7.3,19.42782,-99.2254,Destinia,1416,lol.travel,1168,Trip.com,1169
FlowSuites Polanco,8,19.42927,-99.19296,Booking.com,2108,travelclick,2001,Destinia,1778
The Wild Oscar,9.1,19.42994,-99.1897,Expedia,3098,Booking.com,3022,Traveluro,3091
Suites Rio Elba,8.1,19.42528,-99.17523,Booking.com,990,Expedia,991,Trip.com,1053
Marquis Reforma Hotel & Spa,8.8,19.4249,-99.17365,Expedia,2948,travelclick,2961,Trip.com,2257
"Hotel Sheraton Santa Fe, Mexico City",8.7,19.3684,-99.2613,Hoteles.com,1251,Sheraton,1251,Booking.com,1139
Hotel Del Prado,7.4,19.43661,-99.17139,Booking.com,1038,Hoteles.com,1020,Expedia,1022
City Express Suites Anzures,8.4,19.43266,-99.17744,Booking.com,1684,Hoteles.com,1616,Trip.com,1684
Kali Escandon Mexico City,8.7,19.40202,-99.17693,Booking.com,949,Hoteles.com,949,Expedia,949
Condesa Df,7.7,19.41619,-99.17203,Traveluro,5466,Trip.com,6047,Hotelwiz,5248
MX garibaldi,8.2,19.40545,-99.1506,Booking.com,675,Expedia,587,Hoteles.com,587
Gallery Condesa By Latour S And Resorts,8.4,19.41271,-99.18034,Hoteles.com,979,Expedia,979,Despegar,980
Suites Ganges,8.6,19.42934,-99.17278,Booking.com,945,Expedia,946,Hoteles.com,945
Mx Grand Suites,9.3,19.42634,-99.17354,Booking.com,1710,Expedia,1757,Hoteles.com,1755
JW Marriott  Mexico City Santa Fe,8.8,19.36719,-99.26041,Hoteles.com,1728,JW Marriott,1728,Expedia,1728
Hotel Suites del Ángel,7.9,19.42814,-99.16927,Booking.com,1170,Expedia,1171,Destinia,950
Mathias Boutique Apartments by Viadora,9.2,19.43365,-99.1694,Booking.com,3815,Expedia,3778,Hoteles.com,3774
Casa Anzures Suites,7.3,19.43219,-99.17796,Booking.com,1057,Agoda,1045,,NA
The Westin Santa Fe,8.9,19.36464,-99.25943,Westin,1728,Hoteles.com,1728,Booking.com,1747
Hotel Live Aqua Urban Resort Mexico,9.3,19.3864,-99.25295,Trip.com,3047,travelclick,4017,Traveluro,2891
Holiday Inn Express & Suites Mexico City At The WTC,8.1,19.39609,-99.17426,Booking.com,1134,Holiday Inn Express,1261,Expedia,1260
Hotel Villa Condesa,9.1,19.41687,-99.17281,Booking.com,2410,Expedia,2386,Hoteles.com,2384
Casa Decu,9,19.40874,-99.17127,Booking.com,1406,,NA,,NA
Casa Corp,8.4,19.40584,-99.17215,Booking.com,1386,,NA,,NA
Pug Seal Anatole France,8.8,19.43624,-99.19713,Booking.com,3012,,NA,,NA
Orchid House S,8.8,19.42999,-99.18599,Expedia,3027,,NA,,NA
Residence L' Heritage Tennyson by BlueBay,7.6,19.43052,-99.19516,Destinia,1345,,NA,,NA
Domingo Santo  Boutique,8.7,19.43694,-99.13422,Booking.com,1762,,NA,,NA
Hotel Segovia Regency,7.9,19.42299,-99.16443,Booking.com,692,Expedia,693,Hoteles.com,692
Ar218 Hotel,9.1,19.40754,-99.17375,Trip.com,3130,Expedia,3131,Booking.com,3165
Hotel & Villas Panamá,8.2,19.46217,-99.17754,Booking.com,586,Hoteles.com,586,Trip.com,586
Wyndham Garden Mexico City Reforma,8.3,19.4289,-99.1695,Booking.com,1287,Expedia,1287,Trip.com,1280
Parque Satelite,8.4,19.52044,-99.23019,Booking.com,583,Expedia,583,Hoteles.com,583
Rch Suite,7.8,19.45618,-99.17889,Booking.com,500,Despegar,500,Expedia,500
Don Jacinto Bed&breakfast,8.3,19.4192,-99.17657,Booking.com,1639,,NA,,NA
La Palomilla,8.2,19.41784,-99.17249,Booking.com,1807,,NA,,NA
Distrito Condesa - B&B,7.8,19.40851,-99.17461,Booking.com,1265,,NA,,NA
Condesa 185,6.5,19.4048,-99.17465,Booking.com,550,,NA,,NA
Ignacia Guest House,9.4,19.41317,-99.15985,Expedia,6960,,NA,,NA
Colibri B&b,8,19.38882,-99.1461,Expedia,416,,NA,,NA
Holiday Inn Ciudad De Mexico-Trade Center,8.4,19.38782,-99.1865,Holiday Inn,935,Booking.com,934,Hoteles.com,934
Park Villa,8.2,19.41469,-99.18471,Booking.com,806,Expedia,685,Hoteles.com,685
TRYP by Wyndham Mexico City World Trade Center Area,8.7,19.39914,-99.17123,Booking.com,826,Expedia,790,Destinia,856
Hotel Courtyard Mexico City Revolucion,8.4,19.3966,-99.1854,Booking.com,863,Hoteles.com,854,Expedia,854
Suites Contempo,8.3,19.42508,-99.17698,Booking.com,1575,Trip.com,1405,Despegar,1402
Armonik Suites,8.9,19.4302,-99.1713,Booking.com,959,Expedia,961,Destinia,912
Lombardo Suites,8.5,19.42697,-99.17792,Booking.com,1494,Expedia,1278,Hoteles.com,1277
Casa Malí by Dominion,9.4,19.41028,-99.17017,travelclick,2726,Booking.com,3108,Trip.com,2820
